candles read:
from: 2020-Aug-11 06:00:00
to: 2023-Apr-11 15:55:00
difference: 973d 09:55:00.000000
count: 1400292
duration: 1.519616
began: 2023-Apr-20 10:04:27
it: 0, temperature: 94, curr value: -72.7006, best value: 114.883
it: 309, temperature: 13.9537, curr value: 101.331, best value: 200.968
it: 310, temperature: 13.947, curr value: 114.827, best value: 200.968
it: 311, temperature: 13.9404, curr value: 114.827, best value: 200.968
it: 312, temperature: 13.9338, curr value: 95.3877, best value: 200.968
it: 313, temperature: 13.9272, curr value: 86.897, best value: 200.968
it: 314, temperature: 13.9206, curr value: 112.797, best value: 200.968
it: 315, temperature: 13.9141, curr value: 114.367, best value: 200.968
it: 316, temperature: 13.9076, curr value: 65.8369, best value: 200.968
it: 317, temperature: 13.9011, curr value: 88.1088, best value: 200.968
it: 318, temperature: 13.8947, curr value: 95.4452, best value: 200.968
it: 319, temperature: 13.8882, curr value: 125.67, best value: 200.968
it: 320, temperature: 13.8818, curr value: 145.971, best value: 200.968
it: 321, temperature: 13.8755, curr value: 84.1922, best value: 200.968
it: 322, temperature: 13.8691, curr value: 182.073, best value: 200.968
it: 323, temperature: 13.8628, curr value: 188.606, best value: 200.968
it: 324, temperature: 13.8565, curr value: 149.338, best value: 200.968
it: 325, temperature: 13.8502, curr value: 145.971, best value: 200.968
it: 326, temperature: 13.844, curr value: 145.971, best value: 200.968
it: 327, temperature: 13.8377, curr value: 169.821, best value: 200.968
it: 328, temperature: 13.8315, curr value: 169.821, best value: 200.968
it: 329, temperature: 13.8254, curr value: 158.163, best value: 200.968
it: 330, temperature: 13.8192, curr value: 150.385, best value: 200.968
it: 331, temperature: 13.8131, curr value: 146.887, best value: 200.968
it: 332, temperature: 13.807, curr value: 126.687, best value: 200.968
it: 333, temperature: 13.8009, curr value: 154.637, best value: 200.968
it: 334, temperature: 13.7949, curr value: 153.874, best value: 200.968
it: 335, temperature: 13.7888, curr value: 152.805, best value: 200.968
it: 336, temperature: 13.7828, curr value: 147.116, best value: 200.968
it: 337, temperature: 13.7768, curr value: 153.632, best value: 200.968
it: 338, temperature: 13.7709, curr value: 146.69, best value: 200.968
it: 339, temperature: 13.7649, curr value: 157.552, best value: 200.968
it: 340, temperature: 13.759, curr value: 161.843, best value: 200.968
it: 341, temperature: 13.7531, curr value: 166.712, best value: 200.968
it: 342, temperature: 13.7473, curr value: 176.032, best value: 200.968
it: 343, temperature: 13.7414, curr value: 186.347, best value: 200.968
it: 344, temperature: 13.7356, curr value: 191.168, best value: 200.968
it: 345, temperature: 13.7298, curr value: 191.168, best value: 200.968
it: 346, temperature: 13.724, curr value: 191.168, best value: 200.968
it: 347, temperature: 13.7182, curr value: 183.774, best value: 200.968
it: 348, temperature: 13.7125, curr value: 173.508, best value: 200.968
it: 349, temperature: 13.7068, curr value: 173.508, best value: 200.968
it: 350, temperature: 13.7011, curr value: 166.448, best value: 200.968
it: 351, temperature: 13.6954, curr value: 157.416, best value: 200.968
it: 352, temperature: 13.6897, curr value: 161.548, best value: 200.968
it: 353, temperature: 13.6841, curr value: 141.299, best value: 200.968
it: 354, temperature: 13.6785, curr value: 161.548, best value: 200.968
it: 355, temperature: 13.6729, curr value: 105.287, best value: 200.968
it: 356, temperature: 13.6673, curr value: 108.507, best value: 200.968
it: 357, temperature: 13.6617, curr value: 134.025, best value: 200.968
it: 358, temperature: 13.6562, curr value: 122.148, best value: 200.968
it: 359, temperature: 13.6507, curr value: 175.137, best value: 200.968
it: 360, temperature: 13.6452, curr value: 161.246, best value: 200.968
it: 361, temperature: 13.6397, curr value: 188.59, best value: 200.968
it: 362, temperature: 13.6342, curr value: 188.59, best value: 200.968
it: 363, temperature: 13.6288, curr value: 188.59, best value: 200.968
it: 364, temperature: 13.6234, curr value: 188.59, best value: 200.968
it: 365, temperature: 13.618, curr value: 187.414, best value: 200.968
it: 366, temperature: 13.6126, curr value: 192.606, best value: 200.968
it: 367, temperature: 13.6072, curr value: 192.606, best value: 200.968
it: 368, temperature: 13.6019, curr value: 192.606, best value: 200.968
it: 369, temperature: 13.5966, curr value: 202.487, best value: 202.487
it: 370, temperature: 13.5913, curr value: 191.351, best value: 202.487
it: 371, temperature: 13.586, curr value: 184.426, best value: 202.487
it: 372, temperature: 13.5807, curr value: 184.426, best value: 202.487
it: 373, temperature: 13.5755, curr value: 184.426, best value: 202.487
it: 374, temperature: 13.5702, curr value: 191.351, best value: 202.487
it: 375, temperature: 13.565, curr value: 191.351, best value: 202.487
it: 376, temperature: 13.5598, curr value: 191.351, best value: 202.487
it: 377, temperature: 13.5546, curr value: 152.871, best value: 202.487
it: 378, temperature: 13.5495, curr value: 160.01, best value: 202.487
it: 379, temperature: 13.5443, curr value: 158.869, best value: 202.487
it: 380, temperature: 13.5392, curr value: 128.029, best value: 202.487
it: 381, temperature: 13.5341, curr value: 127.546, best value: 202.487
it: 382, temperature: 13.529, curr value: 170.302, best value: 202.487
it: 383, temperature: 13.5239, curr value: 202.487, best value: 202.487
it: 384, temperature: 13.5189, curr value: 202.487, best value: 202.487
it: 385, temperature: 13.5138, curr value: 197.298, best value: 202.487
it: 386, temperature: 13.5088, curr value: 202.487, best value: 202.487
it: 387, temperature: 13.5038, curr value: 154.146, best value: 202.487
it: 388, temperature: 13.4988, curr value: 162.995, best value: 202.487
it: 389, temperature: 13.4938, curr value: 166.965, best value: 202.487
it: 390, temperature: 13.4889, curr value: 146.713, best value: 202.487
it: 391, temperature: 13.4839, curr value: 157.77, best value: 202.487
it: 392, temperature: 13.479, curr value: 153.988, best value: 202.487
it: 393, temperature: 13.4741, curr value: 163.871, best value: 202.487
it: 394, temperature: 13.4692, curr value: 138.458, best value: 202.487
it: 395, temperature: 13.4643, curr value: 194.011, best value: 202.487
it: 396, temperature: 13.4595, curr value: 194.011, best value: 202.487
it: 397, temperature: 13.4546, curr value: 188.59, best value: 202.487
it: 398, temperature: 13.4498, curr value: 188.59, best value: 202.487
it: 399, temperature: 13.445, curr value: 188.59, best value: 202.487
it: 400, temperature: 13.4402, curr value: 188.133, best value: 202.487
it: 401, temperature: 13.4354, curr value: 192.606, best value: 202.487
it: 402, temperature: 13.4306, curr value: 192.606, best value: 202.487
it: 403, temperature: 13.4259, curr value: 194.011, best value: 202.487
it: 404, temperature: 13.4211, curr value: 179.669, best value: 202.487
it: 405, temperature: 13.4164, curr value: 172.296, best value: 202.487
it: 406, temperature: 13.4117, curr value: 169.836, best value: 202.487
it: 407, temperature: 13.407, curr value: 163.563, best value: 202.487
it: 408, temperature: 13.4023, curr value: 136.869, best value: 202.487
it: 409, temperature: 13.3976, curr value: 132.568, best value: 202.487
it: 410, temperature: 13.393, curr value: 132.568, best value: 202.487
it: 411, temperature: 13.3884, curr value: 154.263, best value: 202.487
it: 412, temperature: 13.3837, curr value: 152.319, best value: 202.487
it: 413, temperature: 13.3791, curr value: 142.871, best value: 202.487
it: 414, temperature: 13.3745, curr value: 173.381, best value: 202.487
it: 415, temperature: 13.37, curr value: 173.381, best value: 202.487
it: 416, temperature: 13.3654, curr value: 173.381, best value: 202.487
it: 417, temperature: 13.3608, curr value: 132.601, best value: 202.487
it: 418, temperature: 13.3563, curr value: 163.513, best value: 202.487
it: 419, temperature: 13.3518, curr value: 166.857, best value: 202.487
it: 420, temperature: 13.3473, curr value: 166.857, best value: 202.487
it: 421, temperature: 13.3428, curr value: 163.513, best value: 202.487
it: 422, temperature: 13.3383, curr value: 169.123, best value: 202.487
