time,exit indicator
1560473160,258.147156
1560474960,257.847839
1560476760,257.415833
1560478560,256.948334
1560480360,256.520844
1560482160,256.166504
1560483960,255.850494
1560485760,255.488495
1560487560,255.123672
1560489360,254.741501
1560491160,254.339508
1560492960,254.157333
1560494760,254.101669
1560496560,254.102997
1560498360,254.106339
1560500160,254.056671
1560501960,254.150330
1560503760,254.305664
1560505560,254.416000
1560507360,254.519333
1560509160,254.620499
1560510960,254.698334
1560512760,254.797501
1560514560,254.835999
1560516360,254.856506
1560518160,254.941162
1560519960,255.060333
1560521760,255.250992
1560523560,255.378830
1560525360,255.492828
1560527160,255.612000
1560528960,255.687836
1560530760,255.766159
1560532560,255.779999
1560534360,255.748657
1560536160,255.738327
1560537960,255.776825
1560539760,255.837158
1560541560,255.915161
1560543360,255.990829
1560545160,256.052155
1560546960,256.173492
1560548760,256.424316
1560550560,256.768646
1560552360,257.121490
1560554160,257.502167
1560555960,257.920990
1560557760,258.342651
1560559560,258.822327
1560561360,259.355988
1560563160,259.930328
1560564960,260.536835
1560566760,261.139160
1560568560,261.725983
1560570360,262.270325
1560572160,262.730011
1560573960,263.070984
1560575760,263.269653
1560577560,263.439148
1560579360,263.630157
1560581160,263.769318
1560582960,263.809662
1560584760,263.834991
1560586560,263.897003
1560588360,263.925507
1560590160,263.885651
1560591960,263.744659
1560593760,263.564484
1560595560,263.438843
1560597360,263.364655
1560599160,263.290497
1560600960,263.216675
1560602760,263.102997
1560604560,262.926666
1560606360,262.720001
1560608160,262.580322
1560609960,262.582336
1560611760,262.673492
1560613560,262.784851
1560615360,262.925659
1560617160,263.289337
1560618960,263.781342
1560620760,264.209503
1560622560,264.605499
1560624360,265.016327
1560626160,265.420685
1560627960,265.826508
1560629760,266.187988
1560631560,266.563660
1560633360,266.991180
1560635160,267.381165
1560636960,267.742340
1560638760,268.028015
1560640560,268.233154
1560642360,268.395325
1560644160,268.295166
1560645960,268.072998
1560647760,267.940002
1560649560,267.941986
1560651360,268.053497
1560653160,268.233673
1560654960,268.368835
1560656760,268.549988
1560658560,268.756165
1560660360,268.934845
1560662160,269.201508
1560663960,269.530334
1560665760,269.881836
1560667560,270.268341
1560669360,270.698334
1560671160,271.202515
1560672960,271.808990
1560674760,272.204010
1560676560,272.285492
1560678360,272.126343
1560680160,271.903168
1560681960,271.756500
1560683760,271.595337
1560685560,271.469666
1560687360,271.374847
1560689160,271.162659
1560690960,270.859344
1560692760,270.691162
1560694560,270.603821
1560696360,270.442505
1560698160,270.167816
1560699960,269.824677
1560701760,269.723328
1560703560,269.843842
1560705360,270.061676
1560707160,270.180664
1560708960,270.184509
1560710760,270.246002
1560712560,270.206482
1560714360,269.966980
1560716160,269.715332
1560717960,269.479492
1560719760,269.196991
1560721560,268.896332
1560723360,268.692169
1560725160,268.568329
1560726960,268.518005
1560728760,268.444336
1560730560,268.311829
1560732360,268.296173
1560734160,268.447174
1560735960,268.669495
1560737760,268.835327
1560739560,268.972656
1560741360,269.184662
1560743160,269.425659
1560744960,269.623993
1560746760,269.717682
1560748560,269.718170
1560750360,269.616669
1560752160,269.523346
1560753960,269.380676
1560755760,269.277496
1560757560,269.227844
1560759360,269.071838
1560761160,268.935181
1560762960,268.838684
1560764760,268.748688
1560766560,268.750671
1560768360,268.870331
1560770160,269.077850
1560771960,269.187836
1560773760,269.404846
1560775560,269.623169
1560777360,269.834167
1560779160,270.102173
1560780960,270.371155
1560782760,270.636322
1560784560,270.845673
1560786360,270.922150
1560788160,270.874481
1560789960,270.845825
1560791760,270.900482
1560793560,270.991669
1560795360,271.072662
1560797160,271.045166
1560798960,271.139496
1560800760,271.138000
1560802560,271.188324
1560804360,271.281830
1560806160,271.263336
1560807960,271.239166
1560809760,271.239655
1560811560,271.311005
1560813360,271.553345
1560815160,271.833008
1560816960,271.988495
1560818760,272.036835
1560820560,272.022827
1560822360,271.961182
1560824160,271.909180
1560825960,271.780823
1560827760,271.651825
1560829560,271.502655
1560831360,271.403320
1560833160,271.355988
1560834960,271.215820
1560836760,270.910675
1560838560,270.547668
