time,entry level 1,entry level 2,entry level 3
1503707340,294.107819,291.001068,284.787506
1503709140,294.092621,290.986023,284.772797
1503710940,294.062439,290.956146,284.743561
1503712740,293.951263,290.846130,284.635895
1503714540,293.738098,290.635223,284.429504
1503716340,293.534760,290.434052,284.232605
1503718140,293.336182,290.237579,284.040314
1503719940,293.101166,290.005035,283.812744
1503721740,292.849487,289.756012,283.569031
1503723540,292.639496,289.548248,283.365723
1503725340,292.407410,289.318604,283.140961
1503727140,292.150665,289.064575,282.892365
1503728940,291.910461,288.826935,282.659790
1503730740,291.607391,288.527039,282.366302
1503732540,291.330658,288.253235,282.098358
1503734340,291.127167,288.051910,281.901306
1503736140,290.966461,287.892883,281.745697
1503737940,290.823761,287.751678,281.607513
1503739740,290.660126,287.589783,281.449066
1503741540,290.564636,287.495300,281.356628
1503743340,290.609344,287.539520,281.399902
1503745140,290.639374,287.569244,281.428955
1503746940,290.623840,287.553864,281.413940
1503748740,290.538330,287.469269,281.331146
1503750540,290.513153,287.444336,281.306732
1503752340,290.473450,287.405060,281.268311
1503754140,290.388031,287.320557,281.185577
1503755940,290.400146,287.332550,281.197327
1503757740,290.522003,287.453125,281.315338
1503759540,290.610931,287.541107,281.401428
1503761340,290.655853,287.585541,281.444916
1503763140,290.732086,287.660980,281.518738
1503764940,290.807037,287.735138,281.591339
1503766740,290.923462,287.850311,281.704041
1503768540,291.048737,287.974274,281.825348
1503770340,291.240173,288.163696,282.010742
1503772140,291.388275,288.310242,282.154144
1503773940,291.507782,288.428467,282.269867
1503775740,291.683441,288.602295,282.439972
1503777540,291.878143,288.794922,282.628479
1503779340,292.077911,288.992584,282.821930
1503781140,292.256592,289.169373,282.994934
1503782940,292.428314,289.339294,283.161224
1503784740,292.584503,289.493835,283.312469
1503786540,292.642273,289.550995,283.368408
1503788340,292.722137,289.630005,283.445740
1503790140,292.825073,289.731873,283.545410
1503791940,292.939880,289.845459,283.656586
1503793740,293.033966,289.938538,283.747681
1503795540,293.190216,290.093140,283.898987
1503797340,293.375092,290.276062,284.078003
1503799140,293.571198,290.470123,284.267883
1503800940,293.764801,290.661652,284.455353
1503802740,293.951965,290.846832,284.636597
1503804540,294.216614,291.108704,284.892853
1503806340,294.396423,291.286621,285.066956
1503808140,294.438904,291.328644,285.108093
1503809940,294.519867,291.408752,285.186493
1503811740,294.707062,291.593964,285.367737
1503813540,294.884705,291.769745,285.539764
1503815340,295.102631,291.985352,285.750793
1503817140,295.264435,292.145447,285.907471
1503818940,295.405945,292.285461,286.044495
1503820740,295.499542,292.378082,286.135132
1503822540,295.624725,292.501953,286.256348
1503824340,295.759857,292.635620,286.387177
1503826140,295.818726,292.693878,286.444183
1503827940,295.884186,292.758636,286.507568
1503829740,295.932343,292.806305,286.554230
1503831540,296.057709,292.930359,286.675598
1503833340,296.210175,293.081207,286.823242
1503835140,296.304382,293.174408,286.914459
1503836940,296.408112,293.277039,287.014893
1503838740,296.485626,293.353729,287.089935
1503840540,296.582214,293.449310,287.183472
1503842340,296.694427,293.560333,287.292145
1503844140,296.755981,293.621246,287.351746
1503845940,296.734833,293.600311,287.331268
1503847740,296.725067,293.590668,287.321838
1503849540,296.737366,293.602814,287.333710
1503851340,296.716278,293.581970,287.313324
1503853140,296.742371,293.607758,287.338562
1503854940,296.806610,293.671356,287.400787
1503856740,296.932922,293.796326,287.523102
1503858540,297.054474,293.916595,287.640808
1503860340,297.182312,294.043060,287.764557
1503862140,297.266937,294.126801,287.846497
1503863940,297.435486,294.293579,288.009705
1503865740,297.602203,294.458527,288.171143
1503867540,297.759979,294.614624,288.323914
1503869340,297.933197,294.786011,288.491638
1503871140,298.115356,294.966278,288.668060
1503872940,298.340881,295.189423,288.886414
1503874740,298.531372,295.377899,289.070892
1503876540,298.779175,295.623047,289.310822
1503878340,299.146545,295.986542,289.666534
1503880140,299.571655,296.407166,290.078186
1503881940,299.945984,296.777557,290.440674
1503883740,300.218018,297.046722,290.704071
1503885540,300.543640,297.368896,291.019379
1503887340,300.966064,297.786865,291.428406
1503889140,301.448090,298.263794,291.895172
1503890940,301.882812,298.693909,292.316101
1503892740,302.214752,299.022339,292.637512
1503894540,302.339630,299.145905,292.758453
1503896340,302.455872,299.260925,292.871002
1503898140,302.534576,299.338776,292.947205
1503899940,302.565704,299.369598,292.977356
1503901740,302.693115,299.495667,293.100739
1503903540,302.809937,299.611237,293.213837
1503905340,302.881073,299.681641,293.282745
1503907140,302.928162,299.728210,293.328308
1503908940,302.996552,299.795868,293.394531
1503910740,303.031891,299.830841,293.428772
1503912540,303.014435,299.813599,293.411896
1503914340,303.004547,299.803802,293.402283
1503916140,302.975464,299.775024,293.374115
1503917940,302.978790,299.778320,293.377350
1503919740,302.996155,299.795502,293.394165
1503921540,303.043457,299.842285,293.439972
1503923340,303.078247,299.876709,293.473663
1503925140,303.167450,299.964996,293.560059
1503926940,303.265167,300.061676,293.654663
1503928740,303.206146,300.003265,293.597504
1503930540,303.061035,299.859711,293.457001
1503932340,302.914612,299.714813,293.315216
1503934140,302.863403,299.664154,293.265625
1503935940,302.789886,299.591400,293.194427
1503937740,302.637024,299.440155,293.046417
1503939540,302.439240,299.244476,292.854889
1503941340,302.251038,299.058258,292.672668
1503943140,302.146454,298.954773,292.571381
1503944940,302.268311,299.075348,292.689392
1503946740,302.482422,299.287201,292.896729
1503948540,302.759216,299.561066,293.164734
1503950340,303.056274,299.854980,293.452393
1503952140,303.234192,300.031006,293.624664
1503953940,303.372375,300.167755,293.758453
1503955740,303.508820,300.302765,293.890594
1503957540,303.685944,300.477997,294.062103
1503959340,303.899872,300.689697,294.269257
1503961140,304.127869,300.915253,294.490021
1503962940,304.410767,301.195160,294.763947
1503964740,304.646271,301.428162,294.991974
1503966540,304.924713,301.703674,295.261597
1503968340,305.229309,302.005066,295.556549
1503970140,305.527344,302.299957,295.845154
1503971940,305.780212,302.550140,296.089996
1503973740,306.021881,302.789276,296.324005
1503975540,306.240417,303.005493,296.535645
1503977340,306.465698,303.228394,296.753784
1503979140,306.718323,303.478363,296.998383
1503980940,306.961365,303.718811,297.233734
1503982740,307.228241,303.982880,297.492157
1503984540,307.483490,304.235443,297.739288
1503986340,307.799500,304.548096,298.045288
1503988140,308.152924,304.897797,298.387512
1503989940,308.499603,305.240814,298.723206
1503991740,308.921234,305.657990,299.131470
1503993540,309.338043,306.070404,299.535095
1503995340,309.748108,306.476135,299.932159
1503997140,310.115875,306.839996,300.288269
1503998940,310.534515,307.254211,300.693634
1504000740,311.047516,307.761810,301.190369
1504002540,311.653534,308.361450,301.777191
1504004340,312.310852,309.011810,302.413666
1504006140,312.932251,309.626648,303.015381
1504007940,313.380615,310.070251,303.449524
1504009740,313.779358,310.464783,303.835632
1504011540,314.202972,310.883942,304.245850
1504013340,314.635376,311.311768,304.664551
1504015140,315.143555,311.814575,305.156616
1504016940,315.633514,312.299347,305.631042
1504018740,316.059814,312.721161,306.043854
1504020540,316.523468,313.179901,306.492798
1504022340,317.041473,313.692444,306.994385
1504024140,317.560638,314.206146,307.497101
1504025940,318.117950,314.757568,308.036743
1504027740,318.731293,315.364410,308.630646
1504029540,319.364563,315.991028,309.243866
1504031340,319.975220,316.595184,309.835144
1504033140,320.545746,317.159698,310.387604
1504034940,321.106689,317.714722,310.930786
1504036740,321.567322,318.170502,311.376801
1504038540,322.073578,318.671417,311.867035
1504040340,322.619232,319.211304,312.395386
1504042140,323.137177,319.723755,312.896912
1504043940,323.747650,320.327789,313.488037
1504045740,324.399384,320.972656,314.119141
1504047540,324.989044,321.556061,314.690094
1504049340,325.541107,322.102295,315.224670
1504051140,326.017822,322.573975,315.686279
1504052940,326.290009,322.843292,315.949829
1504054740,326.518555,323.069397,316.171112
1504056540,326.865784,323.412964,316.507355
1504058340,327.390503,323.932159,317.015472
1504060140,327.871277,324.407837,317.480988
1504061940,328.308746,324.840729,317.904602
1504063740,328.713440,325.241119,318.296478
1504065540,329.042908,325.567139,318.615509
1504067340,329.405365,325.925751,318.966461
1504069140,329.915680,326.430664,319.460602
1504070940,330.389069,326.899048,319.919006
1504072740,330.820312,327.325714,320.336548
1504074540,331.497803,327.996094,320.992615
1504076340,332.167633,328.658844,321.641205
1504078140,332.743958,329.229065,322.199249
1504079940,333.168457,329.649078,322.610291
1504081740,333.494293,329.971466,322.925812
1504083540,333.823151,330.296844,323.244232
1504085340,334.044464,330.515839,323.458557
1504087140,334.129333,330.599792,323.540710
1504088940,334.018158,330.489807,323.433075
1504090740,333.959656,330.431946,323.376434
1504092540,334.015778,330.487457,323.430756
1504094340,334.029175,330.500702,323.443726
1504096140,334.025757,330.497314,323.440430
1504097940,334.243195,330.712463,323.650970
1504099740,334.371155,330.839081,323.774902
1504101540,334.481384,330.948151,323.881622
1504103340,334.702148,331.166565,324.095398
1504105140,334.892822,331.355225,324.280029
1504106940,335.004852,331.466095,324.388519
1504108740,335.099854,331.560089,324.480499
1504110540,335.328094,331.785889,324.701508
1504112340,335.576019,332.031219,324.941589
1504114140,335.903046,332.354797,325.258240
1504115940,336.271454,332.719299,325.614960
1504117740,336.626923,333.071014,325.959167
1504119540,336.843323,333.285126,326.168732
1504121340,337.058228,333.497772,326.376801
1504123140,337.267975,333.705292,326.579926
1504124940,337.179718,333.617950,326.494446
1504126740,337.078583,333.517914,326.396545
1504128540,336.930084,333.370972,326.252747
1504130340,336.855042,333.296722,326.180084
1504132140,336.943817,333.384552,326.266022
1504133940,337.097626,333.536743,326.414948
1504135740,337.344299,333.780792,326.653809
1504137540,337.789795,334.221588,327.085175
