candles read:
from: 2019-Feb-28 04:00:00
to: 2023-Apr-11 16:27:00
difference: 1503d 12:27:00.000000
count: 2160979
duration: 2.194888
began: 2023-Apr-20 10:11:27
it: 0, temperature: 94, curr value: -36.821, best value: 136.169
it: 184, temperature: 15.1117, curr value: 231.732, best value: 268.348
it: 185, temperature: 15.0986, curr value: 229.939, best value: 268.348
it: 186, temperature: 15.0856, curr value: 232.19, best value: 268.348
it: 187, temperature: 15.0727, curr value: 232.19, best value: 268.348
it: 188, temperature: 15.0599, curr value: 232.19, best value: 268.348
it: 189, temperature: 15.0472, curr value: 231.622, best value: 268.348
it: 190, temperature: 15.0345, curr value: 229.939, best value: 268.348
it: 191, temperature: 15.022, curr value: 232.19, best value: 268.348
it: 192, temperature: 15.0095, curr value: 232.19, best value: 268.348
it: 193, temperature: 14.9971, curr value: 231.732, best value: 268.348
it: 194, temperature: 14.9849, curr value: 232.19, best value: 268.348
it: 195, temperature: 14.9726, curr value: 224.201, best value: 268.348
it: 196, temperature: 14.9605, curr value: 211.544, best value: 268.348
it: 197, temperature: 14.9485, curr value: 224.662, best value: 268.348
it: 198, temperature: 14.9365, curr value: 219.694, best value: 268.348
it: 199, temperature: 14.9246, curr value: 214.888, best value: 268.348
it: 200, temperature: 14.9128, curr value: 217.185, best value: 268.348
it: 201, temperature: 14.9011, curr value: 217.185, best value: 268.348
it: 202, temperature: 14.8894, curr value: 215.075, best value: 268.348
it: 203, temperature: 14.8778, curr value: 185.67, best value: 268.348
it: 204, temperature: 14.8663, curr value: 212.494, best value: 268.348
it: 205, temperature: 14.8549, curr value: 212.494, best value: 268.348
it: 206, temperature: 14.8435, curr value: 209.655, best value: 268.348
it: 207, temperature: 14.8323, curr value: 219.257, best value: 268.348
it: 208, temperature: 14.821, curr value: 210.374, best value: 268.348
it: 209, temperature: 14.8099, curr value: 229.732, best value: 268.348
it: 210, temperature: 14.7988, curr value: 229.732, best value: 268.348
it: 211, temperature: 14.7878, curr value: 227.012, best value: 268.348
it: 212, temperature: 14.7769, curr value: 227.012, best value: 268.348
it: 213, temperature: 14.766, curr value: 227.012, best value: 268.348
it: 214, temperature: 14.7552, curr value: 227.012, best value: 268.348
it: 215, temperature: 14.7445, curr value: 227.012, best value: 268.348
it: 216, temperature: 14.7338, curr value: 246.914, best value: 268.348
it: 217, temperature: 14.7232, curr value: 246.914, best value: 268.348
it: 218, temperature: 14.7126, curr value: 218.743, best value: 268.348
it: 219, temperature: 14.7021, curr value: 244.652, best value: 268.348
it: 220, temperature: 14.6917, curr value: 244.652, best value: 268.348
it: 221, temperature: 14.6814, curr value: 242.23, best value: 268.348
it: 222, temperature: 14.6711, curr value: 244.652, best value: 268.348
it: 223, temperature: 14.6608, curr value: 248.825, best value: 268.348
it: 224, temperature: 14.6506, curr value: 242.23, best value: 268.348
it: 225, temperature: 14.6405, curr value: 247.32, best value: 268.348
it: 226, temperature: 14.6305, curr value: 245.352, best value: 268.348
it: 227, temperature: 14.6205, curr value: 246.984, best value: 268.348
it: 228, temperature: 14.6105, curr value: 229.256, best value: 268.348
it: 229, temperature: 14.6006, curr value: 247.32, best value: 268.348
it: 230, temperature: 14.5908, curr value: 247.32, best value: 268.348
it: 231, temperature: 14.581, curr value: 243.273, best value: 268.348
it: 232, temperature: 14.5713, curr value: 245.352, best value: 268.348
it: 233, temperature: 14.5616, curr value: 264.683, best value: 268.348
it: 234, temperature: 14.552, curr value: 264.493, best value: 268.348
it: 235, temperature: 14.5425, curr value: 250.901, best value: 268.348
it: 236, temperature: 14.533, curr value: 251.193, best value: 268.348
it: 237, temperature: 14.5235, curr value: 251.193, best value: 268.348
it: 238, temperature: 14.5141, curr value: 251.193, best value: 268.348
it: 239, temperature: 14.5047, curr value: 251.193, best value: 268.348
it: 240, temperature: 14.4954, curr value: 223.329, best value: 268.348
it: 241, temperature: 14.4862, curr value: 230.318, best value: 268.348
it: 242, temperature: 14.477, curr value: 249.252, best value: 268.348
it: 243, temperature: 14.4678, curr value: 249.252, best value: 268.348
it: 244, temperature: 14.4587, curr value: 262.81, best value: 268.348
it: 245, temperature: 14.4497, curr value: 264.683, best value: 268.348
it: 246, temperature: 14.4407, curr value: 264.683, best value: 268.348
it: 247, temperature: 14.4317, curr value: 264.493, best value: 268.348
it: 248, temperature: 14.4228, curr value: 264.493, best value: 268.348
it: 249, temperature: 14.4139, curr value: 264.683, best value: 268.348
it: 250, temperature: 14.4051, curr value: 252.544, best value: 268.348
it: 251, temperature: 14.3964, curr value: 252.544, best value: 268.348
it: 252, temperature: 14.3876, curr value: 252.544, best value: 268.348
it: 253, temperature: 14.3789, curr value: 252.544, best value: 268.348
it: 254, temperature: 14.3703, curr value: 252.544, best value: 268.348
it: 255, temperature: 14.3617, curr value: 238.955, best value: 268.348
it: 256, temperature: 14.3532, curr value: 238.955, best value: 268.348
it: 257, temperature: 14.3447, curr value: 249.649, best value: 268.348
it: 258, temperature: 14.3362, curr value: 228.292, best value: 268.348
it: 259, temperature: 14.3278, curr value: 241.841, best value: 268.348
it: 260, temperature: 14.3194, curr value: 245.876, best value: 268.348
it: 261, temperature: 14.3111, curr value: 239.754, best value: 268.348
it: 262, temperature: 14.3028, curr value: 239.754, best value: 268.348
it: 263, temperature: 14.2945, curr value: 239.754, best value: 268.348
it: 264, temperature: 14.2863, curr value: 241.667, best value: 268.348
it: 265, temperature: 14.2781, curr value: 241.667, best value: 268.348
it: 266, temperature: 14.27, curr value: 219.464, best value: 268.348
it: 267, temperature: 14.2619, curr value: 228.807, best value: 268.348
it: 268, temperature: 14.2538, curr value: 251.779, best value: 268.348
it: 269, temperature: 14.2458, curr value: 252.082, best value: 268.348
it: 270, temperature: 14.2379, curr value: 251.779, best value: 268.348
it: 271, temperature: 14.2299, curr value: 244.456, best value: 268.348
it: 272, temperature: 14.222, curr value: 244.206, best value: 268.348
it: 273, temperature: 14.2142, curr value: 252.082, best value: 268.348
it: 274, temperature: 14.2063, curr value: 250.965, best value: 268.348
it: 275, temperature: 14.1985, curr value: 250.965, best value: 268.348
it: 276, temperature: 14.1908, curr value: 247.137, best value: 268.348
it: 277, temperature: 14.1831, curr value: 242.766, best value: 268.348
it: 278, temperature: 14.1754, curr value: 242.766, best value: 268.348
it: 279, temperature: 14.1677, curr value: 242.766, best value: 268.348
it: 280, temperature: 14.1601, curr value: 248.428, best value: 268.348
it: 281, temperature: 14.1526, curr value: 248.428, best value: 268.348
it: 282, temperature: 14.145, curr value: 248.428, best value: 268.348
it: 283, temperature: 14.1375, curr value: 228.302, best value: 268.348
it: 284, temperature: 14.13, curr value: 228.302, best value: 268.348
it: 285, temperature: 14.1226, curr value: 234.127, best value: 268.348
it: 286, temperature: 14.1152, curr value: 251.779, best value: 268.348
it: 287, temperature: 14.1078, curr value: 251.779, best value: 268.348
it: 288, temperature: 14.1005, curr value: 251.779, best value: 268.348
it: 289, temperature: 14.0932, curr value: 250.965, best value: 268.348
it: 290, temperature: 14.0859, curr value: 247.871, best value: 268.348
it: 291, temperature: 14.0787, curr value: 250.965, best value: 268.348
it: 292, temperature: 14.0715, curr value: 224.662, best value: 268.348
it: 293, temperature: 14.0643, curr value: 224.662, best value: 268.348
it: 294, temperature: 14.0572, curr value: 232.134, best value: 268.348
it: 295, temperature: 14.0501, curr value: 228.952, best value: 268.348
it: 296, temperature: 14.043, curr value: 225.406, best value: 268.348
it: 297, temperature: 14.0359, curr value: 218.532, best value: 268.348
it: 298, temperature: 14.0289, curr value: 191.359, best value: 268.348
it: 299, temperature: 14.0219, curr value: 213.621, best value: 268.348
it: 300, temperature: 14.015, curr value: 213.621, best value: 268.348
it: 301, temperature: 14.0081, curr value: 213.621, best value: 268.348
it: 302, temperature: 14.0012, curr value: 232.134, best value: 268.348
it: 303, temperature: 13.9943, curr value: 221.985, best value: 268.348
it: 304, temperature: 13.9874, curr value: 213.621, best value: 268.348
it: 305, temperature: 13.9806, curr value: 236.869, best value: 268.348
it: 306, temperature: 13.9739, curr value: 236.869, best value: 268.348
it: 307, temperature: 13.9671, curr value: 229.289, best value: 268.348
it: 308, temperature: 13.9604, curr value: 236.869, best value: 268.348
it: 309, temperature: 13.9537, curr value: 236.869, best value: 268.348
