candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.430015
began: 2023-Apr-20 08:09:05
it: 200, temperature: 15.8647, curr value: 84.8054, best value: 124.53
it: 201, temperature: 15.8522, curr value: 65.8559, best value: 124.53
it: 202, temperature: 15.8398, curr value: 83.1663, best value: 124.53
it: 203, temperature: 15.8275, curr value: 92.2091, best value: 124.53
it: 204, temperature: 15.8153, curr value: 113.799, best value: 124.53
it: 205, temperature: 15.8031, curr value: 72.6498, best value: 124.53
it: 206, temperature: 15.791, curr value: 22.8025, best value: 124.53
it: 207, temperature: 15.779, curr value: 36.7787, best value: 124.53
it: 208, temperature: 15.7671, curr value: 59.52, best value: 124.53
it: 209, temperature: 15.7552, curr value: 22.8947, best value: 124.53
it: 210, temperature: 15.7434, curr value: 35.1406, best value: 124.53
it: 211, temperature: 15.7317, curr value: 61.6963, best value: 124.53
it: 212, temperature: 15.7201, curr value: 57.2545, best value: 124.53
it: 213, temperature: 15.7085, curr value: 74.6955, best value: 124.53
it: 214, temperature: 15.697, curr value: 74.6955, best value: 124.53
it: 215, temperature: 15.6856, curr value: 57.2545, best value: 124.53
it: 216, temperature: 15.6742, curr value: 73.4992, best value: 124.53
it: 217, temperature: 15.6629, curr value: 74.5509, best value: 124.53
it: 218, temperature: 15.6517, curr value: 52.4987, best value: 124.53
it: 219, temperature: 15.6406, curr value: 33.8219, best value: 124.53
it: 220, temperature: 15.6295, curr value: 80.3961, best value: 124.53
it: 221, temperature: 15.6185, curr value: 82.5623, best value: 124.53
it: 222, temperature: 15.6075, curr value: 51.2078, best value: 124.53
it: 223, temperature: 15.5966, curr value: 49.6525, best value: 124.53
it: 224, temperature: 15.5858, curr value: 61.0425, best value: 124.53
it: 225, temperature: 15.575, curr value: 45.7822, best value: 124.53
it: 226, temperature: 15.5643, curr value: 56.9563, best value: 124.53
it: 227, temperature: 15.5537, curr value: 48.7548, best value: 124.53
it: 228, temperature: 15.5431, curr value: 48.3879, best value: 124.53
it: 229, temperature: 15.5326, curr value: 40.47, best value: 124.53
it: 230, temperature: 15.5221, curr value: 42.9522, best value: 124.53
it: 231, temperature: 15.5117, curr value: 85.3276, best value: 124.53
it: 232, temperature: 15.5014, curr value: 62.1776, best value: 124.53
it: 233, temperature: 15.4911, curr value: 66.8512, best value: 124.53
it: 234, temperature: 15.4809, curr value: 73.3469, best value: 124.53
it: 235, temperature: 15.4707, curr value: 56.9649, best value: 124.53
it: 236, temperature: 15.4606, curr value: 47.2815, best value: 124.53
it: 237, temperature: 15.4505, curr value: 66.5056, best value: 124.53
it: 238, temperature: 15.4405, curr value: 72.4806, best value: 124.53
it: 239, temperature: 15.4306, curr value: 61.6196, best value: 124.53
it: 240, temperature: 15.4207, curr value: 49.4166, best value: 124.53
