time,open,high,low,close
1650099600,40370,40414.6,40277,40328.8
1650103200,40328.8,40484.7,40310.1,40413.9
1650106800,40413.9,40492.9,40390.6,40416.9
1650110400,40416.9,40472,40341.8,40449.1
1650114000,40449.1,40461.7,40377,40438.2
1650117600,40438.2,40505.5,40400,40493.3
1650121200,40493.3,40577.6,39991.6,40062.7
1650124800,40062.7,40236,40005.8,40203.3
1650128400,40203.3,40236,40096.4,40153
1650132000,40153,40197.4,40107,40183.9
1650135600,40183.9,40250,40170,40210
1650139200,40210,40394.4,40185.4,40280
1650142800,40280,40600,40280,40485.3
1650146400,40485.3,40699.6,40392.5,40405.9
1650150000,40405.8,40499,40360.1,40378.7
1650153600,40378.7,40413.1,40300.8,40374.1
1650157200,40374.1,40423,40326.9,40387.4
1650160800,40387.4,40387.4,40122.1,40166.9
1650164400,40166.9,40295,40125,40230.9
1650168000,40230.9,40340,40226.6,40282.6
1650171600,40282.6,40430,40253.1,40364.5
1650175200,40364.5,40391.7,40311.7,40323.2
1650178800,40323.2,40359.7,40234.8,40285.2
1650182400,40285.2,40424,40280,40390.2
1650186000,40390.2,40529.8,40390.2,40419.8
1650189600,40419.8,40461.6,40377.8,40412.9
1650193200,40412.9,40485,40363.6,40464.8
1650196800,40464.8,40490.9,40367,40421.7
1650200400,40421.7,40595.7,40250,40306.6
1650204000,40306.5,40421.2,40200,40359.2
1650207600,40359.2,40485.8,40321.9,40445.3
1650211200,40445.3,40476.1,40125.9,40200
1650214800,40200,40276,40050,40101.7
1650218400,40101.7,40160,39833.3,40120
1650222000,40120,40450,40087.2,40370.5
1650225600,40370.5,40459.5,40232.6,40263.2
1650229200,40263.2,40285.6,40127,40208.1
1650232800,40208.2,40340.2,39932.7,40000
1650236400,40000,40003,39546.2,39678.1
1650240000,39678.1,39785,39580.1,39732.9
1650243600,39732.9,39828.6,39667.6,39752.1
1650247200,39752.1,39838.4,39721.2,39796.9
1650250800,39796.9,39897,39743.6,39813.2
1650254400,39813.2,39847.2,38673.2,38819.1
1650258000,38819.1,38986.2,38536.5,38922.2
1650261600,38922.2,39070.1,38883.9,38980.4
1650265200,38980.4,39069,38791.7,38919.8
1650268800,38919.8,39065,38851.6,38874.9
1650272400,38874.9,38990.9,38799,38976.4
1650276000,38976.4,39138.5,38920.6,38924
1650279600,38924,39108,38924,38998.5
1650283200,38998.5,39529.8,38998.5,39400
1650286800,39400,39620.8,39233.1,39326.1
1650290400,39326.1,39569.9,39302.2,39340
1650294000,39340,39370,39122.8,39254.5
1650297600,39254.5,39622.2,39000,39464.5
1650301200,39464.5,40370.8,39463.2,40211
1650304800,40211,41116.7,40211,40646
1650308400,40646,40747,40421.7,40680.7
1650312000,40680.7,40909.1,40632.5,40664.3
1650315600,40664.2,41099,40664.2,40801.3
1650319200,40801.3,40949.9,40710,40923.7
1650322800,40923.8,40972.8,40721.2,40801.1
1650326400,40801.1,41263.4,40792.4,40880.8
1650330000,40880.8,40936,40699.1,40750.1
1650333600,40750.1,40764.9,40601,40611
1650337200,40611,40790.8,40609.3,40693.8
1650340800,40693.8,40884,40658.2,40864.3
1650344400,40864.3,40877.5,40649.2,40661
1650348000,40661,40805.7,40661,40711.6
1650351600,40711.6,40750,40571,40683.1
1650355200,40683.1,40854.8,40666.9,40725.9
1650358800,40725.9,40768.4,40580,40665.4
1650362400,40665.4,40815.9,40636.7,40795.6
1650366000,40795.6,41026.9,40665.1,40687.3
