time,ema(12),entry level 1,entry level 2,entry level 3,entry level 4,ema(16)
1609914600,34610.9,33226.5,32188.1,31149.8,29419.3,34428.2
1609916400,34678.3,33291.2,32250.9,31210.5,29476.6,34501.2
1609918200,34691.9,33304.2,32263.5,31222.7,29488.1,34532.5
1609920000,34659.6,33273.2,32233.4,31193.6,29460.7,34526.5
1609921800,34612.9,33228.4,32190,31151.6,29421,34506.5
1609923600,34538.4,33156.9,32120.7,31084.6,29357.7,34462
1609925400,34450.2,33072.2,32038.7,31005.2,29282.7,34403.6
1609927200,34394.6,33018.8,31987,30955.1,29235.4,34366.5
1609929000,34387,33011.5,31979.9,30948.3,29228.9,34364
1609930800,34429.2,33052,32019.2,30986.3,29264.8,34399
1609932600,34483.8,33104.4,32069.9,31035.4,29311.2,34444.3
1609934400,34547.3,33165.4,32129,31092.6,29365.2,34497.5
1609936200,34584.7,33201.4,32163.8,31126.3,29397,34532
1609938000,34609.4,33225,32186.8,31148.5,29418,34557.1
1609939800,34595.4,33211.6,32173.8,31135.9,29406.1,34552.5
1609941600,34562.7,33180.2,32143.3,31106.4,29378.3,34532.5
1609943400,34526.5,33145.4,32109.6,31073.8,29347.5,34508.4
1609945200,34513.9,33133.4,32097.9,31062.5,29336.8,34500.9
1609947000,34528.4,33147.3,32111.4,31075.6,29349.2,34513.5
1609948800,34562.4,33179.9,32143,31106.2,29378.1,34541.3
1609950600,34582.9,33199.5,32162.1,31124.6,29395.4,34559.4
1609952400,34611.4,33227,32188.6,31150.3,29419.7,34584
1609954200,34659.7,33273.3,32233.5,31193.7,29460.7,34624.1
1609956000,34711,33322.6,32281.2,31239.9,29504.4,34667.6
1609957800,34769.6,33378.9,32335.8,31292.7,29554.2,34717.5
1609959600,34868.3,33473.6,32427.5,31381.5,29638.1,34799.1
1609961400,34918.7,33521.9,32474.4,31426.8,29680.9,34845.7
1609963200,34919.5,33522.7,32475.1,31427.5,29681.5,34854.9
1609965000,35030.9,33629.7,32578.8,31527.8,29776.3,34947.8
