candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.619039
began: 2023-Apr-19 21:14:50
it: 170, temperature: 11.7232, curr value: 751.215, best value: 754.849
it: 171, temperature: 11.7121, curr value: 751.215, best value: 754.849
it: 172, temperature: 11.7011, curr value: 751.215, best value: 754.849
it: 173, temperature: 11.6901, curr value: 741.19, best value: 754.849
it: 174, temperature: 11.6792, curr value: 751.445, best value: 754.849
it: 175, temperature: 11.6685, curr value: 751.445, best value: 754.849
it: 176, temperature: 11.6577, curr value: 749.789, best value: 754.849
it: 177, temperature: 11.6471, curr value: 730.81, best value: 754.849
it: 178, temperature: 11.6366, curr value: 708.823, best value: 754.849
it: 179, temperature: 11.6261, curr value: 708.823, best value: 754.849
it: 180, temperature: 11.6157, curr value: 708.823, best value: 754.849
it: 181, temperature: 11.6054, curr value: 730.81, best value: 754.849
it: 182, temperature: 11.5952, curr value: 730.81, best value: 754.849
it: 183, temperature: 11.585, curr value: 751.445, best value: 754.849
it: 184, temperature: 11.5749, curr value: 751.445, best value: 754.849
it: 185, temperature: 11.5649, curr value: 746.227, best value: 754.849
it: 186, temperature: 11.5549, curr value: 746.227, best value: 754.849
it: 187, temperature: 11.545, curr value: 751.215, best value: 754.849
it: 188, temperature: 11.5352, curr value: 751.445, best value: 754.849
it: 189, temperature: 11.5255, curr value: 751.445, best value: 754.849
it: 190, temperature: 11.5158, curr value: 751.445, best value: 754.849
it: 191, temperature: 11.5062, curr value: 751.445, best value: 754.849
it: 192, temperature: 11.4967, curr value: 751.445, best value: 754.849
it: 193, temperature: 11.4872, curr value: 751.445, best value: 754.849
it: 194, temperature: 11.4778, curr value: 749.789, best value: 754.849
it: 195, temperature: 11.4684, curr value: 749.789, best value: 754.849
it: 196, temperature: 11.4591, curr value: 741.19, best value: 754.849
it: 197, temperature: 11.4499, curr value: 749.084, best value: 754.849
it: 198, temperature: 11.4407, curr value: 749.084, best value: 754.849
it: 199, temperature: 11.4316, curr value: 749.084, best value: 754.849
it: 200, temperature: 11.4226, curr value: 749.084, best value: 754.849
it: 201, temperature: 11.4136, curr value: 754.849, best value: 754.849
it: 202, temperature: 11.4047, curr value: 754.849, best value: 754.849
it: 203, temperature: 11.3958, curr value: 749.084, best value: 754.849
it: 204, temperature: 11.387, curr value: 749.084, best value: 754.849
it: 205, temperature: 11.3782, curr value: 741.19, best value: 754.849
it: 206, temperature: 11.3695, curr value: 741.19, best value: 754.849
it: 207, temperature: 11.3609, curr value: 741.19, best value: 754.849
it: 208, temperature: 11.3523, curr value: 741.19, best value: 754.849
it: 209, temperature: 11.3437, curr value: 751.445, best value: 754.849
it: 210, temperature: 11.3353, curr value: 746.227, best value: 754.849
it: 211, temperature: 11.3268, curr value: 751.445, best value: 754.849
it: 212, temperature: 11.3185, curr value: 749.084, best value: 754.849
it: 213, temperature: 11.3101, curr value: 749.084, best value: 754.849
it: 214, temperature: 11.3019, curr value: 749.084, best value: 754.849
it: 215, temperature: 11.2936, curr value: 749.084, best value: 754.849
it: 216, temperature: 11.2854, curr value: 749.789, best value: 754.849
it: 217, temperature: 11.2773, curr value: 749.789, best value: 754.849
it: 218, temperature: 11.2692, curr value: 749.789, best value: 754.849
it: 219, temperature: 11.2612, curr value: 749.789, best value: 754.849
it: 220, temperature: 11.2532, curr value: 749.789, best value: 754.849
it: 221, temperature: 11.2453, curr value: 751.445, best value: 754.849
it: 222, temperature: 11.2374, curr value: 751.445, best value: 754.849
it: 223, temperature: 11.2296, curr value: 751.445, best value: 754.849
it: 224, temperature: 11.2218, curr value: 751.445, best value: 754.849
it: 225, temperature: 11.214, curr value: 746.227, best value: 754.849
it: 226, temperature: 11.2063, curr value: 751.445, best value: 754.849
it: 227, temperature: 11.1987, curr value: 751.445, best value: 754.849
it: 228, temperature: 11.191, curr value: 751.445, best value: 754.849
it: 229, temperature: 11.1835, curr value: 751.445, best value: 754.849
it: 230, temperature: 11.1759, curr value: 751.215, best value: 754.849
it: 231, temperature: 11.1684, curr value: 751.215, best value: 754.849
it: 232, temperature: 11.161, curr value: 751.445, best value: 754.849
it: 233, temperature: 11.1536, curr value: 741.19, best value: 754.849
it: 234, temperature: 11.1462, curr value: 749.789, best value: 754.849
it: 235, temperature: 11.1389, curr value: 749.789, best value: 754.849
it: 236, temperature: 11.1316, curr value: 746.227, best value: 754.849
it: 237, temperature: 11.1244, curr value: 751.215, best value: 754.849
it: 238, temperature: 11.1172, curr value: 746.227, best value: 754.849
it: 239, temperature: 11.11, curr value: 741.013, best value: 754.849
it: 240, temperature: 11.1029, curr value: 754.849, best value: 754.849
it: 241, temperature: 11.0958, curr value: 754.849, best value: 754.849
it: 242, temperature: 11.0888, curr value: 754.849, best value: 754.849
it: 243, temperature: 11.0818, curr value: 754.849, best value: 754.849
it: 244, temperature: 11.0748, curr value: 749.084, best value: 754.849
it: 245, temperature: 11.0678, curr value: 754.849, best value: 754.849
it: 246, temperature: 11.0609, curr value: 754.849, best value: 754.849
it: 247, temperature: 11.0541, curr value: 749.084, best value: 754.849
it: 248, temperature: 11.0473, curr value: 749.084, best value: 754.849
it: 249, temperature: 11.0405, curr value: 749.084, best value: 754.849
it: 250, temperature: 11.0337, curr value: 749.084, best value: 754.849
it: 251, temperature: 11.027, curr value: 730.727, best value: 754.849
it: 252, temperature: 11.0203, curr value: 749.084, best value: 754.849
it: 253, temperature: 11.0137, curr value: 749.084, best value: 754.849
it: 254, temperature: 11.007, curr value: 749.084, best value: 754.849
it: 255, temperature: 11.0005, curr value: 749.084, best value: 754.849
it: 256, temperature: 10.9939, curr value: 749.084, best value: 754.849
it: 257, temperature: 10.9874, curr value: 749.084, best value: 754.849
it: 258, temperature: 10.9809, curr value: 749.084, best value: 754.849
it: 259, temperature: 10.9745, curr value: 741.013, best value: 754.849
it: 260, temperature: 10.9681, curr value: 741.19, best value: 754.849
it: 261, temperature: 10.9617, curr value: 741.19, best value: 754.849
it: 262, temperature: 10.9553, curr value: 741.19, best value: 754.849
it: 263, temperature: 10.949, curr value: 751.445, best value: 754.849
it: 264, temperature: 10.9427, curr value: 751.445, best value: 754.849
it: 265, temperature: 10.9364, curr value: 741.19, best value: 754.849
it: 266, temperature: 10.9302, curr value: 741.19, best value: 754.849
it: 267, temperature: 10.924, curr value: 741.19, best value: 754.849
it: 268, temperature: 10.9178, curr value: 749.789, best value: 754.849
it: 269, temperature: 10.9117, curr value: 746.227, best value: 754.849
it: 270, temperature: 10.9056, curr value: 751.215, best value: 754.849
it: 271, temperature: 10.8995, curr value: 746.227, best value: 754.849
it: 272, temperature: 10.8935, curr value: 746.227, best value: 754.849
it: 273, temperature: 10.8874, curr value: 749.789, best value: 754.849
it: 274, temperature: 10.8814, curr value: 749.789, best value: 754.849
it: 275, temperature: 10.8755, curr value: 751.445, best value: 754.849
it: 276, temperature: 10.8695, curr value: 730.81, best value: 754.849
it: 277, temperature: 10.8636, curr value: 730.81, best value: 754.849
it: 278, temperature: 10.8577, curr value: 749.789, best value: 754.849
it: 279, temperature: 10.8519, curr value: 749.789, best value: 754.849
it: 280, temperature: 10.8461, curr value: 749.789, best value: 754.849
it: 281, temperature: 10.8403, curr value: 749.789, best value: 754.849
it: 282, temperature: 10.8345, curr value: 749.789, best value: 754.849
it: 283, temperature: 10.8287, curr value: 749.789, best value: 754.849
it: 284, temperature: 10.823, curr value: 749.789, best value: 754.849
it: 285, temperature: 10.8173, curr value: 746.227, best value: 754.849
it: 286, temperature: 10.8117, curr value: 746.227, best value: 754.849
it: 287, temperature: 10.806, curr value: 751.445, best value: 754.849
it: 288, temperature: 10.8004, curr value: 749.789, best value: 754.849
it: 289, temperature: 10.7948, curr value: 746.227, best value: 754.849
it: 290, temperature: 10.7892, curr value: 749.789, best value: 754.849
it: 291, temperature: 10.7837, curr value: 749.084, best value: 754.849
it: 292, temperature: 10.7782, curr value: 741.013, best value: 754.849
it: 293, temperature: 10.7727, curr value: 741.013, best value: 754.849
it: 294, temperature: 10.7672, curr value: 741.013, best value: 754.849
it: 295, temperature: 10.7618, curr value: 749.084, best value: 754.849
it: 296, temperature: 10.7563, curr value: 741.013, best value: 754.849
it: 297, temperature: 10.7509, curr value: 749.084, best value: 754.849
it: 298, temperature: 10.7456, curr value: 703.582, best value: 754.849
it: 299, temperature: 10.7402, curr value: 754.849, best value: 754.849
it: 300, temperature: 10.7349, curr value: 754.849, best value: 754.849
it: 301, temperature: 10.7296, curr value: 741.013, best value: 754.849
it: 302, temperature: 10.7243, curr value: 741.013, best value: 754.849
it: 303, temperature: 10.719, curr value: 741.013, best value: 754.849
it: 304, temperature: 10.7138, curr value: 741.013, best value: 754.849
