best fitness,curr fitness,tabu list size
320.945343,317.439728,56
320.945343,313.091034,56
320.945343,296.508057,56
320.945343,311.653137,56
320.945343,315.082611,56
320.945343,317.143250,56
320.945343,319.847656,56
320.945343,317.669922,56
320.945343,316.784027,56
320.945343,316.062195,56
320.945343,318.933746,56
320.945343,319.847656,56
320.945343,320.346191,56
320.945343,319.847656,56
320.945343,319.328186,56
320.945343,316.614441,56
320.945343,318.780762,56
320.945343,320.317383,56
320.945343,320.317383,55
320.945343,319.328186,55
320.945343,318.197937,55
320.945343,318.780762,55
320.945343,318.780762,55
320.945343,317.580231,55
320.945343,316.657562,55
320.945343,317.132812,55
320.945343,320.303070,55
320.945343,319.739319,55
320.945343,317.132812,55
320.945343,318.505981,55
320.945343,318.686798,55
320.945343,312.188629,55
320.945343,320.353607,55
320.945343,319.847656,55
320.945343,319.289856,55
320.945343,319.659790,55
320.945343,319.811737,55
320.945343,320.317383,55
320.945343,311.032654,55
320.945343,310.478058,55
320.945343,310.478058,55
320.945343,310.478058,55
320.945343,313.071472,55
320.945343,310.478058,55
320.945343,310.478058,55
320.945343,309.721252,55
320.945343,311.090546,55
320.945343,311.681885,55
320.945343,309.595490,55
320.945343,312.413391,55
320.945343,312.413391,54
320.945343,312.377960,55
320.945343,314.750305,55
320.945343,314.161530,55
320.945343,309.332611,55
320.945343,306.940552,55
320.945343,307.850128,55
320.945343,309.770294,55
320.945343,309.770294,55
320.945343,305.248535,55
320.945343,306.711060,55
320.945343,305.895081,55
320.945343,310.221161,55
320.945343,307.862854,55
320.945343,310.221161,55
320.945343,305.582001,55
320.945343,307.151642,55
320.945343,309.471985,55
320.945343,307.151642,55
320.945343,311.595154,55
320.945343,309.398682,55
320.945343,307.040588,55
320.945343,306.588684,55
320.945343,319.233185,55
320.945343,319.569336,55
320.945343,317.692078,55
320.945343,317.692078,55
320.945343,313.178558,55
320.945343,309.624664,55
320.945343,311.288483,55
320.945343,313.250214,55
320.945343,316.113739,55
320.945343,318.078888,55
320.945343,318.078888,54
320.945343,318.688812,54
320.945343,320.860504,54
320.945343,320.914368,54
320.945343,320.914368,54
320.945343,317.841095,54
320.945343,317.841095,53
320.945343,315.383698,52
320.945343,311.866028,52
320.945343,314.807281,52
320.945343,315.127014,52
320.945343,314.240479,52
320.945343,316.069336,52
320.945343,316.348236,52
320.945343,313.377960,52
320.945343,310.402863,52
320.945343,315.933167,52
320.945343,313.139313,52
320.945343,314.255951,52
320.945343,311.532806,52
320.945343,308.017731,52
320.945343,306.683899,52
320.945343,310.262146,52
320.945343,312.926941,52
320.945343,312.926941,51
320.945343,314.142426,51
320.945343,313.142914,51
320.945343,311.843445,51
320.945343,306.862915,51
320.945343,309.367493,51
320.945343,310.650482,52
320.945343,311.532806,52
320.945343,311.282440,52
320.945343,316.663757,52
320.945343,316.714447,52
320.945343,315.058868,52
320.945343,315.058868,52
320.945343,313.331879,52
320.945343,314.673065,52
320.945343,314.697388,52
320.945343,313.033173,52
320.945343,312.891479,52
320.945343,314.543610,52
320.945343,305.513458,52
320.945343,306.634888,52
320.945343,310.603668,52
320.945343,314.543610,52
320.945343,314.136536,52
320.945343,313.597656,52
320.945343,313.825775,52
320.945343,307.968048,53
320.945343,307.968048,53
