curr state net profit,temperature
14298.744141,90.754472
18832.445312,90.663719
3049.608887,90.573057
32437.679688,90.482485
9748.814453,90.392003
11538.103516,90.301612
15768.849609,90.211312
10584.571289,90.121102
0.000000,90.030982
43044.359375,89.940952
13242.384766,89.851012
10871.306641,89.761162
0.000000,89.671402
3925.248535,89.581732
3141.481934,89.492152
9103.708984,89.402661
1743.842285,89.313259
17017.398438,89.223947
3078.508301,89.134724
16819.457031,89.045591
4127.492188,88.956546
13440.930664,88.867591
0.000000,88.778724
1056.727905,88.689947
40610.390625,88.601258
20738.572266,88.512658
20738.572266,88.424146
444.028320,88.335723
17023.892578,88.247389
3638.157715,88.159142
8048.620117,88.070984
9070.224609,87.982915
8659.058594,87.894933
1767.577148,87.807039
0.000000,87.719233
4026.906738,87.631515
6851.020996,87.543885
20436.779297,87.456342
6867.053223,87.368887
15943.136719,87.281519
14267.958008,87.194239
0.000000,87.107045
16339.626953,87.019939
25515.914062,86.932921
31248.435547,86.845989
17634.046875,86.759144
29482.492188,86.672386
26144.109375,86.585715
22505.009766,86.499130
7408.255859,86.412632
20499.285156,86.326221
13901.083984,86.239895
9885.719727,86.153657
26465.664062,86.067504
30315.748047,85.981438
0.000000,85.895457
0.000000,85.809563
2684.472656,85.723755
4129.741699,85.638032
782.420410,85.552395
3009.733887,85.466844
5012.258789,85.381378
141.975891,85.295998
4493.024414,85.210703
10626.113281,85.125493
11589.378906,85.040369
22113.408203,84.955330
19629.839844,84.870375
7264.425781,84.785506
2120.708008,84.700722
938.351501,84.616022
109.817993,84.531407
13154.145508,84.446877
5182.128906,84.362431
13395.017578,84.278070
3817.136719,84.193793
6383.697754,84.109600
998.831482,84.025491
2374.948730,83.941467
11574.812500,83.857527
13726.444336,83.773670
12498.190430,83.689898
12239.300781,83.606209
15300.119141,83.522604
37213.929688,83.439082
8789.632812,83.355644
944.752014,83.272289
5487.365234,83.189018
13996.808594,83.105830
3947.300049,83.022726
345.333008,82.939704
77112.210938,82.856765
72341.640625,82.773910
69488.703125,82.691137
80218.976562,82.608447
77112.210938,82.525839
72341.640625,82.443314
54974.265625,82.360872
54974.265625,82.278512
67977.820312,82.196235
59656.707031,82.114040
54974.265625,82.031927
54974.265625,81.949896
57296.972656,81.867947
61214.496094,81.786080
57296.972656,81.704295
54974.265625,81.622592
54974.265625,81.540970
7433.737305,81.459430
2837.979004,81.377972
1743.842285,81.296595
11218.336914,81.215300
3032.151367,81.134085
9054.351562,81.052952
10935.687500,80.971900
6342.352539,80.890930
