time,sma(1),entry level 1,entry level 2,entry level 3,entry level 4,sma(1)
1578812400,8105.91,7538.5,7295.32,6890.03,6484.73,8105.91
1578816000,8092.85,7526.35,7283.56,6878.92,6474.28,8092.85
1578819600,8115.71,7547.61,7304.14,6898.35,6492.57,8115.71
1578823200,8139.57,7569.8,7325.62,6918.64,6511.66,8139.57
1578826800,8124.05,7555.37,7311.64,6905.44,6499.24,8124.05
1578830400,8117.15,7548.95,7305.44,6899.58,6493.72,8117.15
1578834000,8128.79,7559.77,7315.91,6909.47,6503.03,8128.79
1578837600,8147.34,7577.03,7332.61,6925.24,6517.88,8147.34
1578841200,8153.76,7583,7338.38,6930.7,6523.01,8153.76
1578844800,8149.65,7579.18,7334.69,6927.21,6519.72,8149.65
1578848400,8132.4,7563.13,7319.16,6912.54,6505.92,8132.4
1578852000,8117.87,7549.62,7306.09,6900.19,6494.3,8117.87
1578855600,8108.86,7541.24,7297.98,6892.54,6487.09,8108.86
1578859200,8132.91,7563.61,7319.62,6912.98,6506.33,8132.91
1578862800,8137.82,7568.17,7324.04,6917.15,6510.26,8137.82
1578866400,8119.57,7551.2,7307.61,6901.63,6495.66,8119.57
1578870000,8132.68,7563.39,7319.41,6912.78,6506.15,8132.68
1578873600,8166.1,7594.47,7349.49,6941.18,6532.88,8166.1
1578877200,8168.95,7597.13,7352.06,6943.61,6535.16,8168.95
1578880800,8152.46,7581.79,7337.21,6929.59,6521.97,8152.46
1578884400,8134.58,7565.16,7321.12,6914.39,6507.66,8134.58
1578888000,8107.51,7539.98,7296.76,6891.38,6486.01,8107.51
1578891600,8110.15,7542.44,7299.14,6893.63,6488.12,8110.15
1578895200,8102.5,7535.33,7292.25,6887.13,6482,8102.5
1578898800,8082.97,7517.16,7274.67,6870.52,6466.38,8082.97
1578902400,8073.1,7507.99,7265.79,6862.14,6458.48,8073.1
1578906000,8101.21,7534.13,7291.09,6886.03,6480.97,8101.21
1578909600,8115.81,7547.7,7304.23,6898.44,6492.65,8115.81
1578913200,8115.36,7547.28,7303.82,6898.06,6492.29,8115.36
1578916800,8101.81,7534.68,7291.63,6886.54,6481.45,8101.81
1578920400,8080.43,7514.8,7272.38,6868.36,6464.34,8080.43
1578924000,8093.01,7526.5,7283.71,6879.06,6474.41,8093.01
1578927600,8086.39,7520.34,7277.75,6873.43,6469.11,8086.39
1578931200,8087.77,7521.62,7278.99,6874.6,6470.21,8087.77
1578934800,8094.04,7527.45,7284.63,6879.93,6475.23,8094.04
1578938400,8106.89,7539.41,7296.2,6890.85,6485.51,8106.89
1578942000,8100.96,7533.9,7290.87,6885.82,6480.77,8100.96
1578945600,8111.19,7543.41,7300.07,6894.51,6488.95,8111.19
1578949200,8133.4,7564.06,7320.06,6913.39,6506.72,8133.4
1578952800,8142.58,7572.6,7328.32,6921.2,6514.07,8142.58
1578956400,8123.68,7555.02,7311.31,6905.13,6498.95,8123.68
1578960000,8116.69,7548.52,7305.02,6899.19,6493.35,8116.69
1578963600,8200.22,7626.2,7380.2,6970.19,6560.18,8200.22
1578967200,8364.63,7779.11,7528.17,7109.94,6691.7,8364.63
1578970800,8418.07,7828.81,7576.27,7155.36,6734.46,8418.07
1578974400,8436.05,7845.52,7592.44,7170.64,6748.84,8436.05
