candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.806112
began: 2023-Apr-19 20:47:57
it: 0, temperature: 54, curr value: -35.2126, best value: -40.7431
it: 122, temperature: 9.29083, curr value: 109.234, best value: 138.123
it: 123, temperature: 9.2779, curr value: 122.232, best value: 138.123
it: 124, temperature: 9.26512, curr value: 136.116, best value: 138.123
it: 125, temperature: 9.25247, curr value: 133.506, best value: 138.123
it: 126, temperature: 9.23995, curr value: 128.908, best value: 138.123
it: 127, temperature: 9.22757, curr value: 130.22, best value: 138.123
it: 128, temperature: 9.21531, curr value: 130.22, best value: 138.123
it: 129, temperature: 9.20318, curr value: 121.496, best value: 138.123
it: 130, temperature: 9.19118, curr value: 122.753, best value: 138.123
it: 131, temperature: 9.1793, curr value: 134.907, best value: 138.123
it: 132, temperature: 9.16754, curr value: 130.795, best value: 138.123
it: 133, temperature: 9.15589, curr value: 115.941, best value: 138.123
it: 134, temperature: 9.14437, curr value: 123.062, best value: 138.123
it: 135, temperature: 9.13295, curr value: 102.228, best value: 138.123
it: 136, temperature: 9.12165, curr value: 116.336, best value: 138.123
it: 137, temperature: 9.11046, curr value: 116.833, best value: 138.123
it: 138, temperature: 9.09937, curr value: 124.784, best value: 138.123
it: 139, temperature: 9.0884, curr value: 114.969, best value: 138.123
it: 140, temperature: 9.07752, curr value: 130.145, best value: 138.123
it: 141, temperature: 9.06675, curr value: 133.506, best value: 138.123
it: 142, temperature: 9.05608, curr value: 106.27, best value: 138.123
it: 143, temperature: 9.04551, curr value: 124.784, best value: 138.123
it: 144, temperature: 9.03504, curr value: 136.116, best value: 138.123
it: 145, temperature: 9.02466, curr value: 116.336, best value: 138.123
it: 146, temperature: 9.01437, curr value: 116.771, best value: 138.123
it: 147, temperature: 9.00418, curr value: 99.1179, best value: 138.123
it: 148, temperature: 8.99408, curr value: 106.219, best value: 138.123
it: 149, temperature: 8.98408, curr value: 97.1963, best value: 138.123
it: 150, temperature: 8.97415, curr value: 109.662, best value: 138.123
it: 151, temperature: 8.96432, curr value: 59.2058, best value: 138.123
it: 152, temperature: 8.95457, curr value: 62.4973, best value: 138.123
